Customer: FORSYTH COUNTY WATER DEPT 
Order: S225981 
Meter Type: 5/8 x 3/4 T-10 
Special Instruction: S1301 
  
Meter---,MIU-------,Low--,Int--,High- 
93823301,1850260761,099.2,100.6,099.2 
93823302,1850266068,099.8,100.4,099.1 
93823303,1850272843,098.6,100.5,098.8 
93823304,1850253565,099.7,101.0,099.4 
93823305,1850267332,099.3,100.4,099.3 
93823306,1850267010,099.8,100.9,099.0 
93823307,1850265787,099.0,100.7,099.0 
93823308,1850266965,100.2,100.8,099.2 
93823309,1850260492,099.2,100.4,099.0 
93823310,1850265961,099.2,100.8,099.2 
93823311,1850265906,099.3,100.7,099.3 
93823312,1850265971,099.6,100.9,099.2 
93823313,1850274533,099.1,100.9,099.0 
93823314,1850267441,098.5,100.4,099.2 
93823315,1850272507,098.8,100.2,099.0 
93823316,1850271507,099.6,100.6,099.1 
93823317,1850272931,099.1,100.5,099.3 
93823318,1850274790,099.5,100.9,099.0 
93823319,1850269401,099.5,100.6,099.1 
93823320,1850269396,099.8,101.3,099.3 
93823321,1850274791,099.5,100.6,099.0 
93823322,1850271510,099.4,100.9,099.3 
93823323,1850274092,099.4,100.5,099.0 
93823324,1850269389,099.9,100.6,099.3 
93823325,1850272624,100.0,100.1,099.0 
93823326,1850267440,098.8,100.5,099.4 
93823327,1850272941,098.5,100.5,099.2 
93823328,1850272720,098.6,100.4,098.8 
93823329,1850269848,099.7,100.8,099.1 
93823330,1850272604,099.6,101.3,099.3 
93823331,1850272724,098.7,101.0,099.1 
93823332,1850272444,100.4,100.8,099.3 
93823333,1850273689,099.7,100.9,099.3 
93823334,1850270257,100.0,100.8,099.1 
93823335,1850271276,099.3,100.7,099.3 
93823336,1850272615,098.4,101.1,099.4 
93823337,1850256637,100.3,100.4,099.1 
93823338,1850256514,099.9,100.7,099.1 
93823339,1850250543,099.3,100.9,099.2 
93823340,1850241768,099.6,100.5,099.3 
93823341,1850256383,100.3,101.3,099.3 
93823342,1850257251,099.9,100.8,099.3 
93823343,1850256628,099.8,100.7,099.2 
93823344,1850250488,099.2,100.9,099.2 
93823345,1850258455,099.5,100.9,099.3 
93823346,1850255129,099.9,100.7,099.5 
93823347,1850253662,099.4,100.2,099.1 
93823348,1850256697,099.6,101.0,099.1 
93823349,1850240723,099.1,100.7,099.1 
93823350,1850242378,099.3,100.5,099.2 
93823351,1850250745,100.7,100.8,099.3 
93823352,1850250546,099.0,100.8,099.1 
93823353,1850254910,099.3,100.6,099.0 
93823354,1850253807,098.9,100.7,099.0 
93823355,1850251000,099.2,100.5,099.0 
93823356,1850236937,098.6,100.3,098.7 
93823357,1850250435,099.0,100.5,099.2 
93823358,1850250744,098.8,100.5,099.2 
93823359,1850251652,099.9,100.7,099.1 
93823360,1850255947,099.1,100.6,099.1 
93823361,1850274794,098.9,100.5,099.4 
93823362,1850269689,099.5,100.7,099.2 
93823363,1850274059,100.4,100.6,099.1 
93823364,1850274792,100.0,100.8,099.3 
93823365,1850272144,100.3,100.9,099.3 
93823366,1850269391,100.6,100.7,099.2 
93823367,1850265864,100.1,100.9,099.2 
93823368,1850265956,099.2,100.9,099.3 
93823369,1850253751,100.2,100.8,099.3 
93823370,1850269321,099.7,100.6,099.0 
93823371,1850273081,099.7,100.5,099.1 
93823372,1850270040,099.3,100.5,099.3 
93823373,1850274122,099.3,100.7,099.1 
93823374,1850266957,099.5,100.6,098.9 
93823375,1850266239,099.8,101.1,099.1 
93823376,1850274536,098.9,100.4,099.0 
93823377,1850273547,098.9,100.7,099.2 
93823378,1850265855,099.5,100.9,099.1 
93823379,1850266245,099.7,100.6,099.1 
93823380,1850266960,099.0,100.7,099.1 
93823381,1850270011,099.6,100.3,098.9 
93823382,1850265953,100.4,100.5,099.4 
93823383,1850268012,099.9,100.6,099.2 
93823384,1850267853,099.0,100.7,099.4 
93823385,1850255317,099.4,100.9,099.1 
93823386,1850255725,100.2,100.8,099.4 
93823387,1850254382,098.7,100.8,099.1 
93823388,1850250595,099.4,100.5,099.1 
93823389,1850253706,099.8,100.5,099.1 
93823390,1850250547,099.2,100.5,099.0 
93823391,1850255955,099.0,100.7,099.0 
93823392,1850254010,099.8,100.6,099.3 
93823393,1850253600,100.0,100.4,099.2 
93823394,1850253993,099.2,100.5,099.3 
93823395,1850254956,100.4,100.4,099.2 
93823396,1850254793,099.7,100.1,099.2 
93823397,1850257529,100.1,100.3,099.1 
93823398,1850253297,100.5,100.7,099.2 
93823399,1850254733,099.2,100.8,099.3 
93823400,1850251216,099.9,100.6,099.1 
93823401,1850247794,099.4,100.5,098.9 
93823402,1850247330,098.5,100.3,098.9 
93823403,1850248186,099.1,100.9,099.2 
93823404,1850256284,100.3,100.8,099.2 
93823405,1850254290,099.8,100.6,099.2 
93823406,1850255418,099.9,100.5,099.1 
93823407,1850254160,099.3,100.5,099.1 
93823408,1850255736,098.7,100.6,099.3 
93823409,1850273816,100.1,101.0,099.3 
93823410,1850267409,099.2,100.6,098.9 
93823411,1850265909,099.1,100.6,099.1 
93823412,1850273074,099.8,100.7,099.1 
93823413,1850266069,098.9,100.5,099.1 
93823414,1850272740,100.1,100.8,099.3 
93823415,1850271945,098.7,100.3,099.1 
93823416,1850256621,099.4,100.1,099.1 
93823417,1850267006,099.3,100.8,099.3 
93823418,1850257509,099.2,100.5,099.1 
93823419,1850267335,099.5,101.1,099.4 
93823420,1850266966,099.8,101.2,099.3 
93823421,1850255103,099.9,100.4,099.2 
93823422,1850253559,099.7,100.7,099.3 
93823423,1850250706,099.1,100.8,099.1 
93823424,1850250642,099.3,101.2,099.0 
93823425,1850254969,099.0,100.7,099.4 
93823426,1850254067,099.2,100.2,098.8 
93823427,1850251108,098.4,100.6,099.0 
93823428,1850254951,099.0,100.2,099.2 
93823429,1850255384,098.9,101.0,099.2 
93823430,1850250290,099.8,100.6,098.8 
93823431,1850254955,099.4,100.7,099.3 
93823432,1850254929,099.0,100.7,099.4 
93823433,1850257671,099.9,100.7,099.2 
93823434,1850254291,099.3,100.7,099.1 
93823435,1850257527,099.0,100.6,099.0 
93823436,1850256906,098.8,101.3,099.1 
93823437,1850257611,100.2,100.6,099.2 
93823438,1850256289,099.0,100.8,099.3 
93823439,1850255926,098.6,100.5,099.0 
93823440,1850256301,099.2,100.9,098.9 
93823441,1850257146,098.9,100.6,099.2 
93823442,1850256529,099.4,101.0,099.0 
93823443,1850254205,099.9,101.0,099.3 
93823444,1850256303,098.9,101.2,099.2 
93823445,1850266242,099.4,100.4,099.2 
93823446,1850266137,099.7,100.8,099.4 
93823447,1850265900,098.7,100.6,099.2 
93823448,1850265785,100.2,100.8,099.1 
93823449,1850271335,100.1,100.9,099.3 
93823450,1850269253,098.5,100.3,099.2 
93823451,1850273270,099.1,100.7,099.2 
93823452,1850273249,099.5,100.5,099.1 
93823453,1850265973,099.5,100.4,098.9 
93823454,1850256698,099.8,100.4,099.2 
93823455,1850272762,099.3,101.1,099.2 
93823456,1850266075,099.0,100.5,099.2 
93823457,1850253806,099.2,100.7,098.9 
93823458,1850255720,099.1,100.7,099.0 
93823459,1850253561,099.2,100.8,099.1 
93823460,1850253563,099.7,100.7,099.1 
93823461,1850254784,099.6,101.1,099.4 
93823462,1850251245,100.1,100.5,098.9 
93823463,1850250993,099.6,100.5,099.1 
93823464,1850255709,098.8,100.5,098.9 
93823465,1850250274,099.6,100.6,099.3 
93823466,1850253745,099.6,100.7,099.2 
93823467,1850253767,099.7,100.8,099.2 
93823468,1850254375,099.6,100.5,099.0 
93823469,1850257634,099.3,100.8,099.2 
93823470,1850246626,099.2,100.8,099.0 
